FileName	SampleName	Population 	Treatment 	Tissue
C10_con_GI	C10_con_GI	Camargue	Control	Gills
C1_con_MG	C1_con_MG	Camargue	Control	MG
C1_poll_GI	C1_poll_GI	Camargue	polluted	Gills
C1_poll_MG	C1_poll_MG	Camargue	polluted	MG
C2_con_GI	C2_con_GI	Camargue	Control	Gills
C2_con_MG	C2_con_MG	Camargue	Control	MG
C2_poll_MG	C2_poll_MG	Camargue	polluted	MG
C3_con_MG	C3_con_MG	Camargue	Control	MG
C3_poll_MG	C3_poll_MG	Camargue	polluted	MG
C4_con_MG	C4_con_MG	Camargue	Control	MG
C4_poll_MG	C4_poll_MG	Camargue	polluted	MG
C6_con_MG	C6_con_MG	Camargue	Control	MG
C6_poll_GI	C6_poll_GI	Camargue	polluted	Gills
C6_poll_MG	C6_poll_MG	Camargue	polluted	MG
C7_con_GI	C7_con_GI	Camargue	Control	Gills
C7_con_MG	C7_con_MG	Camargue	Control	MG
C7_poll_GI	C7_poll_GI	Camargue	polluted	Gills
C7_poll_MG	C7_poll_MG	Camargue	polluted	MG
C8_con_MG	C8_con_MG	Camargue	Control	MG
C9_con_GI	C9_con_GI	Camargue	Control	Gills
C9_con_MG	C9_con_MG	Camargue	Control	MG
C9_poll_MG	C9_poll_MG	Camargue	polluted	MG
N1_con_MG	N1_con_MG	Narbonne	Control	MG
N1_poll_MG	N1_poll_MG	Narbonne	polluted	MG
N2_poll_MG	N2_poll_MG	Narbonne	polluted	MG
N3_con_MG	N3_con_MG	Narbonne	Control	MG
N4_con_MG	N4_con_MG	Narbonne	Control	MG
N4_poll_MG	N4_poll_MG	Narbonne	polluted	MG
N5_con_MG	N5_con_MG	Narbonne	Control	MG
N5_poll_MG	N5_poll_MG	Narbonne	polluted	MG
N6_con_GI	N6_con_GI	Narbonne	Control	Gills
N6_con_MG	N6_con_MG	Narbonne	Control	MG
N6_poll_MG	N6_poll_MG	Narbonne	polluted	MG
N7_con_MG	N7_con_MG	Narbonne	Control	MG
N7_poll_GI	N7_poll_GI	Narbonne	polluted	Gills
N7_poll_MG	N7_poll_MG	Narbonne	polluted	MG
N8_con_MG	N8_con_MG	Narbonne	Control	MG
N8_poll_MG	N8_poll_MG	Narbonne	polluted	MG
N9_poll_MG	N9_poll_MG	Narbonne	polluted	MG
S11_con_GI	S11_con_GI	Salagou 	Control	Gills
S1_poll_MG	S1_poll_MG	Salagou 	polluted	MG
S2_poll_GI	S2_poll_GI	Salagou 	polluted	Gills
S2_poll_MG	S2_poll_MG	Salagou 	polluted	MG
S3_con_MG	S3_con_MG	Salagou 	Control	MG
S3_poll_MG	S3_poll_MG	Salagou 	polluted	MG
S4_con_mg	S4_con_mg	Salagou 	Control	MG
S4_poll_MG	S4_poll_MG	Salagou 	polluted	MG
S5_con_MG	S5_con_MG	Salagou 	Control	MG
S5_poll_MG	S5_poll_MG	Salagou 	polluted	MG
S6_con_GI	S6_con_GI	Salagou 	Control	Gills
S6_con_MG	S6_con_MG	Salagou 	Control	MG
S6_poll_MG	S6_poll_MG	Salagou 	polluted	MG
S7_poll_GI	S7_poll_GI	Salagou 	polluted	Gills
S7_poll_MG	S7_poll_MG	Salagou 	polluted	MG
S8_con_MG	S8_con_MG	Salagou 	Control	MG
S8_poll_GI	S8_poll_GI	Salagou 	polluted	Gills
S8_poll_MG	S8_poll_MG	Salagou 	polluted	MG
S9_con_MG	S9_con_MG	Salagou 	Control	MG
